id,title,authors,journal_num,abs,pdf,bib,code,supplementary,website,blog,abstract,skills,data_skills
1,On the Optimality of Kernel-Embedding Based Goodness-of-Fit Tests,"Krishnakumar Balasubramanian, Tong Li, Ming Yuan","(1):1−45, 2021.",https://jmlr.org/papers/v22/17-570.html,https://jmlr.org/papers/volume22/17-570/17-570.pdf,https://jmlr.org/papers/v22/17-570.bib,,,,,"The reproducing kernel Hilbert space (RKHS) embedding of distributions offers a general and flexible framework for testing problems in arbitrary domains and has attracted considerable amount of attention in recent years. To gain insights into their operating characteristics, we study here the statistical performance of such approaches within a minimax framework. Focusing on the case of goodness-of-fit tests, our analyses show that a vanilla version of the kernel embedding based test could be minimax suboptimal, {when considering $\chi^2$ distance as the separation metric}. Hence we suggest a simple remedy by moderating the embedding. We prove that the moderated approach provides optimal tests for a wide range of deviations from the null and can also be made adaptive over a large collection of interpolation spaces. Numerical experiments are presented to further demonstrate the merits of our approach.",TestNG; Testing,
2,Domain Generalization by Marginal Transfer Learning,"Gilles Blanchard, Aniket Anand Deshmukh, Urun Dogan, Gyemin Lee, Clayton Scott","(2):1−55, 2021.",https://jmlr.org/papers/v22/17-679.html,https://jmlr.org/papers/volume22/17-679/17-679.pdf,https://jmlr.org/papers/v22/17-679.bib,https://github.com/aniketde/DomainGeneralizationMarginal,,,,"In the problem of domain generalization (DG), there are labeled training data sets from several related prediction problems, and the goal is to make accurate predictions on future unlabeled data sets that are not known to the learner. This problem arises in several applications where data distributions fluctuate because of environmental, technical, or other sources of variation. We introduce a formal framework for DG, and argue that it can be viewed as a kind of supervised learning problem by augmenting the original feature space with the marginal distribution of feature vectors. While our framework has several connections to conventional analysis of supervised learning algorithms, several unique aspects of DG require new methods of analysis. This work lays the learning theoretic foundations of domain generalization, building on our earlier conference paper where the problem of DG was introduced. We present two formal models of data generation, corresponding notions of risk, and distribution-free generalization error analysis. By focusing our attention on kernel methods, we also provide more quantitative results and a universally consistent algorithm. An efficient implementation is provided for this algorithm, which is experimentally compared to a pooling strategy on one synthetic and three real-world data sets.",Algorithm; Analysis; Supervised Learning; Training; Unsupervised Learning,
3,Regulating Greed Over Time in Multi-Armed Bandits,"Stefano Tracà, Cynthia Rudin, Weiyu Yan","(3):1−99, 2021.",https://jmlr.org/papers/v22/17-720.html,https://jmlr.org/papers/volume22/17-720/17-720.pdf,https://jmlr.org/papers/v22/17-720.bib,https://github.com/ShrekFelix/Regulating-Greed-Over-Time,,,,"In retail, there are predictable yet dramatic time-dependent patterns in customer behavior, such as periodic changes in the number of visitors, or increases in customers just before major holidays. The current paradigm of multi-armed bandit analysis does not take these known patterns into account. This means that for applications in retail, where prices are fixed for periods of time, current bandit algorithms will not suffice. This work provides a remedy that takes the time-dependent patterns into account, and we show how this remedy is implemented for the UCB, $\varepsilon$-greedy, and UCB-L algorithms, and also through a new policy called the variable arm pool algorithm. In the corrected methods, exploitation (greed) is regulated over time, so that more exploitation occurs during higher reward periods, and more exploration occurs in periods of low reward. In order to understand why regret is reduced with the corrected methods, we present a set of bounds that provide insight into why we would want to exploit during periods of high reward, and discuss the impact on regret. Our proposed methods perform well in experiments, and were inspired by a high-scoring entry in the Exploration and Exploitation 3 contest using data from Yahoo$!$ Front Page. That entry heavily used time-series methods to regulate greed over time, which was substantially more effective than other contextual bandit methods.",Algorithm; Analysis; Exploit; Retail; Sentry; Time Series; Variable,
4,An Empirical Study of Bayesian Optimization: Acquisition Versus Partition,"Erich Merrill, Alan Fern, Xiaoli Fern, Nima Dolatnia","(4):1−25, 2021.",https://jmlr.org/papers/v22/18-220.html,https://jmlr.org/papers/volume22/18-220/18-220.pdf,https://jmlr.org/papers/v22/18-220.bib,https://github.com/Eiii/opt_cmp,,,,"Bayesian optimization (BO) is a popular framework for black-box optimization. Two classes of BO approaches have shown promising empirical performance while providing strong theoretical guarantees. The first class optimizes an acquisition function to select points, which is typically computationally expensive and can only be done approximately. The second class of algorithms use systematic space partitioning, which is much cheaper computationally but the selection is typically less informed. This points to a potential trade-off between the computational complexity and empirical performance of these algorithms. The current literature, however, only provides a sparse sampling of empirical comparison points, giving little insight into this trade-off. The primary contribution of this work is to conduct a comprehensive, repeatable evaluation within a common software framework, which we provide as an open-source package. Our results give strong evidence about the relative performance of these methods and reveal a consistent top performer, even when accounting for overall computation time.",Accounting; Algorithm; Bayesian Optimization; Box; Complexity; LeSS; Literature; Sampling; Selection; Trade,
5,The Decoupled Extended Kalman Filter for Dynamic Exponential-Family Factorization Models,"Carlos A. Gomez-Uribe, Brian Karrer","(5):1−25, 2021.",https://jmlr.org/papers/v22/18-417.html,https://jmlr.org/papers/volume22/18-417/18-417.pdf,https://jmlr.org/papers/v22/18-417.bib,,,,,"Motivated by the needs of online large-scale recommender systems, we specialize the decoupled extended Kalman filter to factorization models, including factorization machines, matrix and tensor factorization, and illustrate the effectiveness of the approach through numerical experiments on synthetic and on real-world data.  Online learning of model parameters through the decoupled extended Kalman filter makes factorization models more broadly useful by (i) allowing for more flexible observations through the entire exponential family, (ii) modeling parameter drift, and (iii) producing parameter uncertainty estimates that can enable explore/exploit and other applications.  We use a different parameter dynamics than the standard decoupled extended Kalman filter, allowing parameter drift while encouraging reasonable values. We also present an alternate derivation of the extended Kalman filter and decoupled extended Kalman filter that highlights the role of the Fisher information matrix in the extended Kalman filter.",Exploit; Modelling; Uncertainty,
6,Consistent estimation of small masses in feature sampling,"Fadhel Ayed, Marco Battiston, Federico Camerlenghi, Stefano Favaro","(6):1−28, 2021.",https://jmlr.org/papers/v22/18-534.html,https://jmlr.org/papers/volume22/18-534/18-534.pdf,https://jmlr.org/papers/v22/18-534.bib,,,,,"Consider an (observable) random sample of size $n$ from an infinite population of individuals, each individual being endowed with a finite set of features from a collection of features $(F_{j})_{j\geq1}$ with unknown probabilities $(p_{j})_{j \geq 1}$, i.e., $p_{j}$ is the probability that an individual displays feature $F_{j}$. Under this feature sampling  framework, in recent years there has been a growing interest in estimating the sum of the probability masses $p_{j}$'s of features observed with frequency $r\geq0$ in the sample, here denoted by $M_{n,r}$. This is the natural feature sampling counterpart of the classical problem of estimating small probabilities in the species sampling framework, where each individual is endowed with only one feature (or “species""). In this paper we study the problem of consistent estimation of the small mass $M_{n,r}$. We first show that there do not exist universally consistent estimators, in the multiplicative sense, of the missing mass $M_{n,0}$. Then, we introduce an estimator of $M_{n,r}$ and identify sufficient conditions under which the estimator is consistent. In particular, we propose a nonparametric estimator $\hat{M}_{n,r}$  of $M_{n,r}$ which has the same analytic form of the celebrated Good--Turing estimator for small probabilities, with the sole difference that the two estimators have different ranges (supports).  Then, we show that $\hat{M}_{n,r}$ is strongly consistent, in the multiplicative sense, under the assumption that  $(p_{j})_{j\geq1}$ has regularly varying heavy tails.",Analytical; Population; Probability; Sampling,
7,Preference-based Online Learning with Dueling Bandits: A Survey,"Viktor Bengs, Róbert Busa-Fekete, Adil El Mesaoudi-Paul, Eyke Hüllermeier","(7):1−108, 2021.",https://jmlr.org/papers/v22/18-546.html,https://jmlr.org/papers/volume22/18-546/18-546.pdf,https://jmlr.org/papers/v22/18-546.bib,,,,,"In machine learning,  the notion of multi-armed bandits refers to a class of online learning problems, in which an agent is supposed to simultaneously explore and exploit a given set of choice alternatives in the course of a sequential decision process. In the standard setting, the agent learns from stochastic feedback in the form of real-valued rewards. In many applications, however, numerical reward signals are not readily available---instead, only weaker information is provided, in particular relative preferences in the form of qualitative comparisons between pairs of alternatives. This observation has motivated the study of variants of the multi-armed bandit problem, in which more general representations are used both for the type of feedback to learn from and the target of prediction.  The aim of this paper is to provide a survey of the state of the art in this field, referred to as preference-based multi-armed bandits or dueling bandits. To this end, we provide an overview of problems that have been considered in the literature as well as methods for tackling them. Our taxonomy is mainly based on the assumptions made by these methods about the data-generating process and, related to this, the properties of the preference-based feedback.",Decision Process; Exploit; Literature; Machine Learning; Sequential Decision,
8,A Unified Framework for Random Forest Prediction Error Estimation,"Benjamin Lu, Johanna Hardin","(8):1−41, 2021.",https://jmlr.org/papers/v22/18-558.html,https://jmlr.org/papers/volume22/18-558/18-558.pdf,https://jmlr.org/papers/v22/18-558.bib,,,,,"We introduce a unified framework for random forest prediction error estimation based on a novel estimator of the conditional prediction error distribution function. Our framework enables simple plug-in estimation of key prediction uncertainty metrics, including conditional mean squared prediction errors, conditional biases, and conditional quantiles, for random forests and many variants. Our approach is especially well-adapted for prediction interval estimation; we show via simulations that our proposed prediction intervals are competitive with, and in some settings outperform, existing methods. To establish theoretical grounding for our framework, we prove pointwise uniform consistency of a more stringent version of our estimator of the conditional prediction error distribution function. The estimators introduced here are implemented in the R package forestError.",Interval Estimation; R; Random Forest; Uncertainty,R programming
9,"Convex Clustering: Model, Theoretical Guarantee and Efficient Algorithm","Defeng Sun, Kim-Chuan Toh, Yancheng Yuan","(9):1−32, 2021.",https://jmlr.org/papers/v22/18-694.html,https://jmlr.org/papers/volume22/18-694/18-694.pdf,https://jmlr.org/papers/v22/18-694.bib,,,,,"Clustering is a fundamental problem in unsupervised learning. Popular methods like K-means, may suffer from poor performance as they are prone to get stuck in its local minima. Recently, the sum-of-norms (SON) model (also known as the convex clustering model) has been proposed by Pelckmans et al. (2005), Lindsten et al. (2011) and Hocking et al. (2011). The perfect recovery properties of the convex clustering model with uniformly weighted all-pairwise-differences regularization have been proved by Zhu et al. (2014)  and Panahi et al. (2017). However,  no theoretical guarantee has been established for the general weighted convex clustering model, where better empirical results have been observed. In the numerical optimization aspect, although algorithms like the alternating direction method of multipliers (ADMM) and the alternating minimization algorithm (AMA) have been proposed to solve the convex clustering model (Chi and Lange, 2015), it still remains  very challenging to solve large-scale problems. In this paper, we establish sufficient conditions for the perfect recovery guarantee of the general weighted convex clustering model, which include and improve existing theoretical results in  (Zhu et al., 2014; Panahi et al., 2017) as special cases. In addition, we develop a semismooth Newton based augmented Lagrangian method for solving large-scale convex clustering problems. Extensive numerical experiments on both simulated and real data demonstrate that our algorithm is  highly efficient and robust for solving large-scale problems. Moreover, the numerical results also show the superior performance and scalability of our algorithm comparing to the existing first-order methods. In particular, our algorithm is able to solve a convex clustering problem with 200,000 points in $\mathbb{R}^3$ in about 6 minutes.",Algorithm; Clustering; Supervised Learning; Unsupervised Learning,
10,Mixing Time of Metropolis-Hastings for Bayesian Community Detection,"Bumeng Zhuo, Chao Gao","(10):1−89, 2021.",https://jmlr.org/papers/v22/18-770.html,https://jmlr.org/papers/volume22/18-770/18-770.pdf,https://jmlr.org/papers/v22/18-770.bib,,,,,We study the computational complexity of a Metropolis-Hastings algorithm for Bayesian community detection. We first establish a posterior strong consistency result for a natural prior distribution on stochastic block models under the optimal signal-to-noise ratio condition in the literature. We then give a set of conditions that guarantee rapidly mixing of a simple Metropolis-Hastings algorithm. The mixing time analysis is based on a careful study of posterior ratios and a canonical path argument to control the spectral gap of the Markov chain.,Algorithm; Analysis; Bayesian; Complexity; Literature,
