id,title,author,date,url,description,type,tags,skills,data_skills
121033,Six Tips on Building a Data Science Team at a Small Company,Zbar & Vallejo,2021-01-04,https://www.kdnuggets.com/2021/01/six-tips-building-data-science-team-small-company.html,"When a company decides that they want to start leveraging their data for the first time, it can be a daunting task. Many businesses aren’t fully aware of all that goes into building a data science department. If you're the data scientist hired to make this happen, we have some tips to help you face the task head-on.",opinions,"Data Science, Data Science Team, Data Scientist",Data Science,
121054,All Machine Learning Algorithms You Should Know in 2021,Terence Shin,2021-01-04,https://www.kdnuggets.com/2021/01/machine-learning-algorithms-2021.html,"Many machine learning algorithms exits that range from simple to complex in their approach, and together provide a powerful library of tools for analyzing and predicting patterns from data. If you are learning for the first time or reviewing techniques, then these intuitive explanations of the most popular machine learning models will help you kick off the new year with confidence.",tutorials,"Algorithms, Decision Trees, Explained, Gradient Boosting, K-nearest neighbors, Machine Learning, Naive Bayes, Regression, SVM",Bayesian Regression; Boosting; Decision Tree; Machine Learning Algorithm; Naïve Bayes; Regression; Support Vector Machine (SVM),Regressions
121083,DeepMind’s MuZero is One of the Most Important Deep Learning Systems Ever Created,Jesus Rodriguez,2021-01-04,https://www.kdnuggets.com/2021/01/deepmind-muzero-important-deep-learning-systems.html,MuZero takes a unique approach to solve the problem of planning in deep learning models.,tutorials,"AlphaZero, Deep Learning, DeepMind, MuZero, Reinforcement Learning",Deep Learning; Reinforcement Learning,Deep Learning; Reinforcement
121109,"Model Experiments, Tracking and Registration using MLflow on Databricks",Dash Desai,2021-01-05,https://www.kdnuggets.com/2021/01/model-experiments-tracking-registration-mlflow-databricks.html,"This post covers how StreamSets can help expedite operations at some of the most crucial stages of Machine Learning Lifecycle and MLOps, and demonstrates integration with Databricks and MLflow.",tutorials,"Data Science, Databricks, DataOps, Experimentation, MLflow, MLOps, Modeling, StreamSets",Data Science; Databricks; MLFlow; MLOps; Machine Learning; Modelling,
121117,How to Get a Job as a Data Engineer,Anna Anisienia,2021-01-05,https://www.kdnuggets.com/2021/01/get-job-as-data-engineer.html,"Data engineering skills are currently in high demand. If you are looking for career prospects in this fast-growing profession, then these 10 skills and key factors will help you prepare to land an entry-level position in this field.",opinions,"Career Advice, Data Engineer, Data Engineering",Data Engineering; Sentry,
121127,Where is Marketing Data Science Headed?,Kevin Gray,2021-01-05,https://www.kdnuggets.com/2021/01/marketing-data-science-headed.html,Marketing data science - data science related to marketing - is now a significant part of marketing. Some of it directly competes with traditional marketing research and many marketing researchers may wonder what the future holds in store for it.,opinions,"Analytics, Data Science, Marketing",Analytical; Data Science; Market Research; Marketing Research,
121157,MLOps: Model Monitoring 101,Saha & Bose,2021-01-06,https://www.kdnuggets.com/2021/01/mlops-model-monitoring-101.html,Model monitoring using a model metric stack is essential to put a feedback loop from a deployed ML model back to the model building stage so that ML models can constantly improve themselves under different scenarios.,tutorials,"AI, Data Science, DevOps, Machine Learning, MLOps, Modeling",Artificial Intelligence (AI); Data Science; DevOps; MLOps; Machine Learning; Modelling,AI
121171,Learn Data Science for free in 2021,Ahmad Anis,2021-01-06,https://www.kdnuggets.com/2021/01/learn-data-science-free-2021.html,"If you are considering starting a career path in machine learning and data science, then there is a great deal to learn theoretically, along with gaining practical skills in applying a broad range of techniques. This comprehensive learning plan will guide you to start on this path, and it is all available for free.",tutorials,"Data Science Education, Online Education",Data Science; Machine Learning,
121181,CatalyzeX: A must-have browser extension for machine learning engineers and researchers,Himanshu Ragtah,2021-01-06,https://www.kdnuggets.com/2021/01/catalyzex-browser-extension-machine-learning.html,"CatalyzeX is a free browser extension that finds code implementations for ML/AI papers anywhere on the internet (Google, Arxiv, Twitter, Scholar, and other sites).",tutorials,"Implementation, Machine Learning, Programming, Research",Artificial Intelligence (AI); Internet; Machine Learning; Programming; Research; Twitter,AI
121195,10 Underappreciated Python Packages for Machine Learning Practitioners,Vinay Uday Prabhu,2021-01-07,https://www.kdnuggets.com/2021/01/10-underappreciated-python-packages-machine-learning-practitioners.html,"Here are 10 underappreciated Python packages covering neural architecture design, calibration, UI creation and dissemination.",tutorials,"Deployment, Neural Networks, Python, UI/UX",Architecture; Creatio; Design; Machine Learning; Neural Network; Python; User Experience (UX); User Interface (UI),Python Programming
121215,Advice to aspiring Data Scientists – your most common questions answered,Roman Orac,2021-01-07,https://www.kdnuggets.com/2021/01/advice-aspiring-data-scientists.html,"Embarking on a new career path can be daunting with many unknowns about how to get started and how to be successful. If you are aspiring to become a Data Scientist, then the answers to these common questions can help set you off on the right foot.",tutorials,"Advice, Career Advice, Data Scientist, Mathematics, Online Education, SQL",Mathematics; Structured Query Language (SQL),SQL
121221,11 Industrial AI Trends that will Dominate the World in 2021,Swati Giri,2021-01-07,https://www.kdnuggets.com/2021/01/11-industrial-ai-trends-dominate-2021.html,These trends broadly cover the three themes of: Where will businesses adopt AI in 2021? How will AI become more accessible? How will AI capabilities evolve?,opinions,"2021 Predictions, AI, Trends",Artificial Intelligence (AI),AI
121201,JupyterLab 3 is Here: Key reasons to upgrade now,Matthew Mayo,2021-01-08,https://www.kdnuggets.com/2021/01/jupyterlab-3-here-reasons-upgrade.html,Read about these 3 reasons for checking out JupyterLab 3 today.,tutorials,"Data Science, IDE, Jupyter, Programming",Data Science; Integrated Development Environment (IDE); Jupyter; JupyterLab; Programming,
121236,Top 10 Computer Vision Papers 2020,Louis (What’s AI) Bouchard,2021-01-08,https://www.kdnuggets.com/2021/01/top-10-computer-vision-papers-2020.html,"The top 10 computer vision papers in 2020 with video demos, articles, code, and paper reference.",tutorials,"AI, Computer Vision, Research",Artificial Intelligence (AI); Computer Vision; Research; Video,AI; Computer Vision
121276,Best Python IDEs and Code Editors You Should Know,Claire D. Costa,2021-01-08,https://www.kdnuggets.com/2021/01/best-python-ide-code-editors.html,"Developing machine learning algorithms requires implementing countless libraries and integrating many supporting tools and software packages. All this magic must be written by you in yet another tool -- the IDE -- that is fundamental to all your code work and can drive your productivity. These top Python IDEs and code editors are among the best tools available for you to consider, and are reviewed with their noteworthy features.",tutorials,"IDE, Jupyter, PyCharm, Python, Visual Studio Code",Editor; Integrated Development Environment (IDE); Jupyter; Machine Learning Algorithm; PyCharm; Python; RStudio; Software Package; Visual Studio Code,Python Programming
121307,OpenAI Releases Two Transformer Models that Magically Link Language and Computer Vision,Jesus Rodriguez,2021-01-11,https://www.kdnuggets.com/2021/01/openai-transformer-models-link-language-computer-vision.html,OpenAI has released two new transformer architectures that combine image and language tasks in an fun and almost magical way. Read more about them here.,tutorials,"Computer Vision, NLP, OpenAI, Transformer",Architecture; Computer Vision; Image; Natural Language Processing (NLP); Transformer,Computer Vision; NLP
