id,title,subtitle,author,publication,published_date,read_time_mins,claps,url,skills,data_skills
adc2bde3c8ed,Using Databricks Clusters in ML Pipelines,Run production Spark jobs and train ML models on Databricks…,Nofar Mishraki,Towards Data Science,02/01/2021,4,248,https://towardsdatascience.com/using-databricks-clusters-in-ml-pipelines-adc2bde3c8ed,Apache Spark; Databricks,SPARK
e1b329293fc6,StarSnow: HTTP Client for Snowflake SQL,Generic Snowflake functions to interact with web APIs directly from SQL statements.,Tamas Foldi,Starschema Blog,03/01/2021,5,101,https://medium.com/starschema-blog/starsnow-http-client-for-snowflake-sql-e1b329293fc6,Application Programming Interface (API); Hypertext Transfer Protocol (HTTP); Structured Query Language (SQL); Web API,SQL
805c6d1a1e03,5 Reasons Data Scientists Must be Data Engineers in 2021 and Beyond,Our field is progressing rapidly…,John Ade-Ojo,Towards Data Science,04/01/2021,6,172,https://towardsdatascience.com/5-reasons-data-scientists-must-be-data-engineers-in-2021-and-beyond-805c6d1a1e03,,
ce1c89af0e47,Introducing SAYN: A Simple Yet Powerful Data Processing Framework,Our New Open Source Framework That…,Robin Watteaux,Towards Data Science,05/01/2021,5,241,https://towardsdatascience.com/introducing-sayn-a-simple-yet-powerful-data-processing-framework-ce1c89af0e47,Processing,
b02323824530,Assessing batch-processed analytics of anonymized rideshare data,Sharing my experience of a successful big data…,Farhan Juneja,Analytics Vidhya,06/01/2021,6,106,https://medium.com/analytics-vidhya/assessing-batch-processed-analytics-of-anonymized-rideshare-data-b02323824530,Analytical; Big Data; Data Sharing,
b26605a3b9f4,Airflow 2.0 and Why We Are Excited at Databand,Airflow 2.0 is here and we are so excited about the new release! There is a…,Jonathan Shir,Databand.ai,07/01/2021,4,301,https://medium.com/databand-ai/airflow-2-0-and-why-we-are-excited-at-databand-b26605a3b9f4,,
7895b29fd834,Apache Spark 3.0 — A Next-Generation data processing and analytics workload,,rajeshkotian,,10/01/2021,6,107,https://medium.com/@rajeshkotian/apache-spark-3-0-a-next-generation-data-processing-and-analytics-workloads-7895b29fd834,Analytical; Apache Spark; Processing,SPARK
befcd0e903e8,Machine Learning Operations with Kubeflow,Brief introduction:,Kenechi Ojukwu,DataDrivenInvestor,10/01/2021,6,126,https://medium.datadriveninvestor.com/machine-learning-operations-with-kubeflow-befcd0e903e8,Machine Learning,
7e16ae65e0be,How to Crack the Data Engineer Interview at Facebook,,Palak Sharma,,11/01/2021,4,189,https://medium.com/@palakdatascientist/how-to-crack-the-data-engineer-interview-at-facebook-7e16ae65e0be,Facebook,
6e152455775c,Is Apache Airflow 2.0 good enough for current data engineering needs?,What changed in the new release…,Anna Geller,Towards Data Science,12/01/2021,9,664,https://towardsdatascience.com/is-apache-airflow-2-0-good-enough-for-current-data-engineering-needs-6e152455775c,Apache Airflow; Data Engineering,
a6ad20b652a2,AWS Glue Tutorial,How to start with AWS Glue and Athena,George Pipis,The Startup,12/01/2021,5,110,https://medium.com/swlh/aws-glue-tutorial-a6ad20b652a2,AWS Glue; Amazon Web Service (AWS); Athena Cloud,
a79081d5b94d,Data Observability: How to Fix Data Quality at Scale,Introducing a new approach to preventing broken…,Barr Moses,Towards Data Science,13/01/2021,6,206,https://towardsdatascience.com/data-observability-how-to-fix-data-quality-at-scale-a79081d5b94d,,
466ae12f65d3,Data Science at Wildlife: A deep dive into how our team works,Find out how we're able to innovate in…,Cecilia García López de Munain,Wildlife Studios Tech Blog,14/01/2021,6,189,https://medium.com/tech-at-wildlife-studios/data-science-at-wildlife-a-deep-dive-into-how-our-team-works-466ae12f65d3,Data Science,
c09a022aa6ff,How to Prevent Bad Data in Your Perfectly Good Pipelines,3 tactics you should be thinking about,Barr Moses,Towards Data Science,15/01/2021,5,245,https://towardsdatascience.com/data-engineering-101-how-to-prevent-data-downtime-c09a022aa6ff,,
92166c19084c,The End of ETL As We Know It,"If you’re as sick of this three-letter phrase as I am, you’ll be happy to…",Paul Singman,Whispering Data,16/01/2021,4,1300,https://medium.com/whispering-data/the-end-of-etl-as-we-know-it-92166c19084c,Extract Transform Load (ETL),ETL
6e152455775c,Is Apache Airflow 2.0 good enough for current data engineering needs?,What changed in the new release…,Anna Geller,Towards Data Science,16/01/2021,9,664,https://towardsdatascience.com/is-apache-airflow-2-0-good-enough-for-current-data-engineering-needs-6e152455775c,Apache Airflow; Data Engineering,
5ea4a357c149,7 concepts of databases every data engineer should know,,Oleg Agapov,,16/01/2021,8,767,https://medium.com/@oleg-agapov/7-concepts-of-databases-every-data-engineer-should-know-5ea4a357c149,Database,
e230817bcb16,The Top 5 Data Trends for CDOs to Watch Out for in 2021,"Modern metadata solutions, data quality…",Prukalpa,Towards Data Science,16/01/2021,7,448,https://towardsdatascience.com/the-top-5-data-trends-for-cdos-to-watch-out-for-in-2021-e230817bcb16,,
dcc2903345a5,A Decent Guide to DataFrames in Spark 3.0 for Beginners,Understand the transformations in a conceptual…,David Vrba,Towards Data Science,16/01/2021,12,123,https://towardsdatascience.com/a-decent-guide-to-dataframes-in-spark-3-0-for-beginners-dcc2903345a5,Apache Spark; Dataframe,SPARK
3df0af020c64,"Data Pipelines — Design Patterns for Reusability, Extensibility",Evolve data pipelines for quality…,Mukul Sood,Towards Data Science,17/01/2021,6,111,https://towardsdatascience.com/data-pipelines-design-patterns-for-reusability-extensibility-3df0af020c64,Data Pipeline; Design,
3c958657b325,Databases in Python Made Easy with SQLAlchemy,Leverage the iconic SQLAlchemy Python library to…,Todd Birchard,Hackers and Slackers,19/01/2021,9,236,https://hackingandslacking.com/databases-in-python-made-easy-with-sqlalchemy-3c958657b325,Database; Python,Python Programming
92166c19084c,The End of ETL As We Know It,"If you’re as sick of this three-letter phrase as I am, you’ll be happy to…",Paul Singman,Whispering Data,20/01/2021,4,1300,https://medium.com/whispering-data/the-end-of-etl-as-we-know-it-92166c19084c,Extract Transform Load (ETL),ETL
2f6cca9fcdc,How did BiTaksi Become The Best Taxi Service by Using The Power of Data?,Implementation of a new data…,Oğuzhan Yediel,BiTaksi Product & Tech,22/01/2021,5,175,https://medium.com/bitaksi-tech/how-did-bitaksi-become-the-best-taxi-service-by-using-the-power-of-data-2f6cca9fcdc,,
dcc2903345a5,A Decent Guide to DataFrames in Spark 3.0 for Beginners,Understand the transformations in a conceptual…,David Vrba,Towards Data Science,25/01/2021,12,123,https://towardsdatascience.com/a-decent-guide-to-dataframes-in-spark-3-0-for-beginners-dcc2903345a5,Apache Spark; Dataframe,SPARK
b6d95a293352,My Guide to Becoming a “Market-Ready” Data Engineer With a $100 Investment in 3 Months or Less — 2021,,AfroInfoTech,Geek Culture,25/01/2021,10,161,https://medium.com/geekculture/my-guide-to-becoming-a-market-ready-data-engineer-with-a-100-investment-in-3-months-or-less-b6d95a293352,Investment; LeSS; Market,
7004e56c8c98,How We Build a Production-Grade Data Pipeline,,Ghifari Dwiki Ramadhan,Life at Telkomsel,25/01/2021,8,337,https://medium.com/life-at-telkomsel/how-we-build-a-production-grade-data-pipeline-7004e56c8c98,Data Pipeline; Gradle,
e230817bcb16,The Top 5 Data Trends for CDOs to Watch Out for in 2021,"Modern metadata solutions, data quality…",Prukalpa,Towards Data Science,26/01/2021,7,448,https://towardsdatascience.com/the-top-5-data-trends-for-cdos-to-watch-out-for-in-2021-e230817bcb16,,
b9407c3e36f8,Designing Your Snowflake Topology,"By William Summerhill, Greg Pavlik, and Brad McNeely",William Summerhill,Snowflake,26/01/2021,11,143,https://medium.com/snowflake/designing-your-snowflake-topology-b9407c3e36f8,Topology,
8f85b860d5a4,Generating Unique Keys In BigQuery,The Ideal Primary Key For Data Warehousing,Borna Almasi,Show Me The Data,26/01/2021,4,110,https://medium.com/showmethedata/generating-unique-keys-in-bigquery-8f85b860d5a4,Google BigQuery,
30039c166092,Optimizing joins in Redshift,"Recently at Affinity, we accelerated our analytics workloads on Redshift by optimizing our use of joins. In…",Arzav Jain,Affinity,26/01/2021,8,298,https://build.affinity.co/optimizing-joins-in-redshift-30039c166092,Analytical; Redshift,
