id,title,subtitle,author,publication,published_date,read_time_mins,claps,url,skills,data_skills
cd1bcd607426,Pandas Cheat Sheet for Data Preprocessing,Practical guide about how to preprocess data with Pandas,Ryota Kiuchi,Towards Data Science,2021-09-30,8,289,https://towardsdatascience.com/pandas-cheat-sheet-for-data-preprocessing-cd1bcd607426,Pandas,
3b6b4e00d608,Snowflake Vs BigQuery — Two Cloud Data Warehouses Of Many,Setting Up Your Data In The Modern Data…,SeattleDataGuy,SeattleDataGuy,2021-09-30,6,118,https://medium.com/coriers/snowflake-vs-bigquery-two-cloud-data-warehouses-of-many-3b6b4e00d608,Data Warehouse; Google BigQuery,
854be0f9fe9d,How Airbnb Tech Fosters a Culture of Learning,Leveraging technical learning and development to enable engineers to do their…,Tamera Scholz,The Airbnb Tech Blog,2021-09-30,8,237,https://medium.com/airbnb-engineering/how-airbnb-tech-fosters-a-culture-of-learning-854be0f9fe9d,Development Tools,
78305cb2732b,Multiple Indicator Trading Strategy in Python — A Full Guide.,Creating a Trading Strategy Based on…,Sofien Kaabar,Investor’s Handbook,2021-09-30,14,104,https://medium.com/the-investors-handbook/multiple-indicator-trading-strategy-in-python-a-full-guide-78305cb2732b,Python,Python Programming
bf56d46b2abe,Deploy a Public Streamlit Web App for Free — Here’s How,Google Sheets as its backend and hosted by…,Yong Cui,Towards Data Science,2021-09-30,7,156,https://towardsdatascience.com/deploy-a-public-streamlit-web-app-for-free-heres-how-bf56d46b2abe,Google Sheets,
8fecbd3a2a1a,11 ML Algorithms you should know in 2021,Must know algorithms in 2021,Kajal Yadav,CodeX,2021-09-30,6,116,https://medium.com/codex/11-ml-algorithms-you-should-know-in-2021-8fecbd3a2a1a,Algorithm,
e7f537064b4a,Switching to Cassandra from RDBMS,How a joyride turned into an eyesore,Mehul Gupta,Data Science in your pocket,2021-09-30,6,131,https://medium.com/data-science-in-your-pocket/switching-to-cassandra-from-rdbms-e7f537064b4a,Apache Cassandra,
1b0fe4a8b39,The data investment life cycle,And the importance of J-curve for investors. Again.,Adam Votava,,2021-09-30,4,105,https://medium.com/@adamvotava/the-data-investment-life-cycle-1b0fe4a8b39,Investment,
1aad64f71e34,The best Matplotlib cheat sheet!,"Welcome back! Matplotlib is one of the most important packages for Python, I’ve personally used it for…",Manpreet Singh,,2021-09-30,3,103,https://medium.com/@preettheman/the-best-matplotlib-cheat-sheet-1aad64f71e34,Matplotlib; Python,Python Programming
6d044fc93c55,Streamlit ve AWS ile Makine Öğrenmesi Modelinin Deploy Edilmesi,,Niyazi Özkan,Machine Learning Turkiye,2021-09-30,6,339,https://medium.com/machine-learning-t%C3%BCrkiye/streamlit-ve-aws-ile-makine-%C3%B6%C4%9Frenmesi-modelinin-deploy-edilmesi-6d044fc93c55,Amazon Web Service (AWS),
