Company,Contact Person,Address,Email,Telephone,Fax No.
ACCENTURE,Ju Min Lim,"Level 30 Menara Exchange 106, Lingkaran TRX Tun Razak Exchange, 55188 Kuala Lumpur.",GrowWithUs@accenture.com,03 2088 4000,03 20887000
Acumed Medical Group,Chuah Xing Mei,10 Toh Guan Road #09-02 Singapore 608838,chuahxingmei@acumed.com.sg,+6565663311,+6565677365
AEGIS BPO Malaysia Sdn Bhd,,"AEGIS BPO Malaysia Sdn Bhd,  Level 2, Symphony House, Pusat Dagangan Dana 1 JalanPJU 1A/46 47301 Petaling Jaya Selangor, Malaysia",,03-76613636,
AEON CO. (M) BHD.,Pravina Karpan,"3rd Floor, AEON Taman Maluri Shopping Centre Jalan Jejaka, Taman Maluri Cheras 55100, Kuala Lumpur",,03-9207 2107,03-9207 2006/2007
AEON CREDIT SERVICE (M) BERHAD,Munirah,"Level 18, UOA Corporate Tower Avenue 10, The Vertical Bangsar South City 8, Jalan Kerinchi 59200 Kuala Lumpur",sitinurmunirah@aeoncredit.com.my,03 2772 9306,
AFFIN BANK BERHAD,,"80, Jalan Raja Chulan 50200 Kuala Lumpur",hr.recruitment@affinbank.com.my,03 2055 9523 / 03 2055 9530 / 03 2055 9507,
AFFIN HWANG CAPITAL,Group Chief Human Resource Officer,"27th Floor,  Menara Boustead 69 Jalan Raja Chulan 50200 Kuala Lumpur",,+603-2142 3700,+603-2142 3799
AHMAD ZAKI RESOURCES BERHAD,,"AHMAD ZAKI RESOURCES BERHAD MENARA AZRB, NO. 71 PERSIARAN GURNEY 54000 KUALA LUMPUR.",,03-26987171,
AIA BHD,,Menara AIA 99 Jalan Ampang 50450 Kuala Lumpur,my.careers@aia.com,03 2056 1111						,
AIA Shared Services,Leslie Lian (HR Manager),"Wisma Mustapha Kamal,  Menara 2, 02-06-01, NeoCyber, Lingkaran Cyber Point Barat, Cyber 12,  63000 Cyberjaya,  Selangor Darul Ehsan",MY.Career@aia.com,603- 8213 2591,
Airbus Customer Services Sdn Bhd,Nurzafirah Binti Masri,"Airbus Customer Services Sdn Bhd, Lot PT16, Jalan KLIA S7, Southern Support Zone, KLIA, 64000 Sepang, SELANGOR",nurzafirah.masri@airbus.com,03-8878 6671,
Aisling Consulting Sdn Bhd,Melissa Norman,"SO-7.02, 7.03, 7.03A, Menara 1, No 3, Jalan Bangsar, KL Eco City, 59000 Kuala Lumpur",melissa.n@aislingconsulting.com,+60124979774,
ALLIANCE BANK MALAYSIA BERHAD,,Menara Multi-Purpose Capital Square Kuala Lumpur,careers@alliancefg.com,+603-2604 1225,
 allnex,YiaWen Lim,"Level 1, Lot 1.01, 1, First Avenue, Bandar Utama, 47800 Petaling Jaya, Selangor",Global_Talent_Acquisition@allnex.com,603 2785 9159,
AMBANK GROUP,,"Group Human Resource Level 37,  No.8, Menara AmBank Jalan Yap Kwan Seng 50250 Kuala Lumpur",fly-high@ambankgroup.com,03 2167 3000,
American Express,Pep Sutaratada,"Menara Prestige, Level 14, 1, Jalan Pinang, 50450 Kuala Lumpur, Wilayah Persekutuan, Malaysia",,+60 3 2030 9421,
Anantara Vacation Club Legian Bali,,"Double Six Beach, Jl. Pantai Arjuna No.18, Legian, Kuta, Badung Regency Bali 80361",,(+62)85265651659,
Ansell Global Trading Center (Malaysia) Sdn Bhd,Winci Loh,"Ansell Global Trading Center (Malaysia) Sdn. Bhd. Prima 6, Prima Avenue, Block 3512, Jalan Teknokrat 6, 63000 Cyberjaya, Malaysia",winci.loh@ansell.com,03 8310 6811,03 8318 6699
AQUARIS OFFSHORE SDN BHD,,"UNIT B-13A-7, BLOK B MEGAN AVENUE II, JALAN YAP KWAN SENG 50450 KUALA LUMPUR",,03-21813669,
Arvato Systems Malaysia Sdn Bhd,Lewis Chung,"Suite 26-10, Level 26, GTower,  199, Jalan Tun Razak, 50400 Kuala Lumpur Malaysia",hr.my@bertelsmann.de,+60 3-2330 1988,
Aspiro,,"Level 13, Tower 9, UOA Business Park 1, Jalan Pengaturcara U1/51A Seksyen U1 40150 Shah Alam Selangor",ask@aspiro.co,03 2262 0800,
ASTRO,,All Asia Broadcast Centre Technology Park Malaysia Lebuhraya Puchong - Sg Besi 57000 Bukit Jalil Kuala Lumpur,youth_outreach@astro.com.my,+603-9543 6688,
AVERIS SDN BHD,,Level 5 Wisma Averis Tower 2 Avenue 5 Bangsar South No 8 Jalan Kerinchi 59200 Kuala Lumpur,recruitment@averis.biz,03-2758 8888,
Avery Dennison,Mr Robert William Pye (Operating Director),"Lot 6, Jalan P/2, Kawasan Perusahaan Bangi, Bangi, Selangor Darul Ehsan",lpm.my@ap.averydennison.com,60389250901,
AWANSOFT TECHNOLOGY,Esther Gan,"B-10-11 Plaza Mont? Kiara, 2 Jalan Kiara, 50480 Kuala Lumpur, Malaysia.",esther@awansoft.biz,6 012 300 2000,6 03 6419 0020
AXA AFFIN GENERAL INSURANCE BERHAD,Shaminadra Mohamad & Nurzahira Pandawa,"Talent Acquisition  Level 28, Wisma Goldhill, 67, Jalan Raja Chulan, 50200 Kuala Lumpur",,03 2170 8282,03 2031 7287
AXA AFFIN LIFE INSURANCE BERHAD,,"8th Floor,  Chulan Tower No. 3, Jalan Conlay 50450 Kuala Lumpur",hr.recruit@axa-life.com.my,03 21173610						,
AXIATA GROUP BHD,,Axiata Tower 9 Jalan Stesen  Sentral 5 Kuala Lumpur Sentral 50470 Kuala Lumpur,,+603-2263 8888,
BAE Systems Applied Intelligence,,"Menara Binjai  No2 Jalan Binjai off Jalan Ampang 50450,W.P Kuala Lumpur , Malaysia",recruitment.apac@baesystems.com,03-2191 3000,
BANK ISLAM MALAYSIA BERHAD,Employer Branding & Talent Sourcing,Menara Bank Islam No.22 Jalan Perak 50450 Kuala Lumpur Wilayah Persekutuan Kuala Lumpur,career@bankislam.com.my,+603-2088 8000,+603-2088 8325
BANK NEGARA MALAYSIA,Recruitment Section,"Jalan Dato Onn,  Kuala Lumpur,  Malaysia",recruit@bnm.gov.my,03-2698 8044,
BANK PERTANIAN MALAYSIA BERHAD (AGROBANK),,Leboh Pasar Besar P.O Box 10815 50726 Kuala Lumpur,career@agrobank.com.my,+603-2731 1600,+603-2692 5827
BANK RAKYAT,,"Menara Kembar Bank Rakyat No 33, Jalan Travers 50470 Kuala Lumpur",careers@bankrakyat.com,03-2612 9600,
BASF Asia-Pacific,,Level 25 Menara TM Jalan Pantai Baharu 59200 Kuala Lumpur,,03-2246 9000,
BDO,,"Level 8,  BDO @ Menara CenTARa 360, Jalan Tuanku Abdul Rahman 50100 Kuala Lumpur Malaysia",jobs@bdo.my,+603 2616 2888,+603 2616 3197
BHP - Shared Services,April de Guzman,"Level 35, Menara Southpoint Mid Valley City  Medan Syed Putra Selatan 59200 Kuala Lumpur",,+603 2037 6679,
BIAXIS (M) SDN BHD,alice yeap,"52, JALAN USJ 1/33, TAMAN SUBANG PERMAI, 47600 SUBANG JAYA, SELANGOR",aliceyeap@biaxis.com.my,03-80240405,
BIG Loyalty Sdn Bhd,Azrini Suhardi,"Level 4, Wisma Tune, Lorong Dungun, Damansara Heights, 50490 Kuala Lumpur, Malaysia",,0327753327,
Biocon Biologics,Biocon Sdn. Bhd.,"No. 1, Jalan Bioteknologi 1,  Kawasan Perindustrian SiLC,  79200 Iskandar Puteri,  Johor, Malaysia",queries.malaysia@biocon.com,+607-5600000,
Brainfuse,,"271 Madison Ave New York, NY 10016",,,
Brand Geeks Inc,Brand Geeks,"13A-31, Level 14, Plaza Azalea, Persiaran Bandar Raya, Seksyen 14, Shah Alam, 40000, Selangor, Malaysia",hotbutton@brandgeeksinc.com,+60355248029,
BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD,,"Level 19, Wisma Guocoland Damansara City No. 6 Jalan Damanlela Bukit Damansara 50490 Kuala Lumpur",gbs_hr_aspac_recruitment@bat.com,+603-8991 7635,+603-7491 3723
BRITISH AMERICAN TOBACCO (REGIONAL PRODUCT CENTRE),"Ian Liew, Poovanesh Sevaneson","Virginia Park, Jalan Universiti, 46200 Petaling Jaya, Selangor Darul Ehsan, Malaysia",,03-7491 7100,
Broadgate Advisers Sdn Bhd,,,,03-2201 5337,
BRUNSFIELD INTERNATIONAL GROUP,Ms. Carmen Chua,"Brunsfield Centre, No. 8, Jalan Wan Kadir 4,  Off Jalan Damansara, Taman Tun Dr. Ismail, 60000,  Kuala Lumpur Malaysia",hra@brunsfield.com,03.7726.9898,03.7726.8998
