name,market_value_21,world_rank_21,market_value_20,world_rank_20,country,ceo,website,sector,employee_count,annual_revenue,annual_net_income,stock_exchange,stock_category,description
PT BANK CENTRAL ASIA TBK,60.700 Billion USD,253,60.700 Billion USD,253,Indonesia,Jahja Setiaatmadja,https://www.bca.co.id/en,Financial Services; Banking Services; Credit Cards,24789.0,"72,968 Billion IDR","28,565 Billion IDR",Frankfurt,,PT BANK CENTRAL ASIA TBK is Bank with headquarters in Indonesia.
PT BANK RAKYAT INDONESIA (PERSERO) TBK,38.040 Billion USD,457,38.040 Billion USD,457,Indonesia,,http://www.ir-bri.com/,Financial Services; Banking Services,61800.0,108468 Billion IDR,34372 Billion IDR,Frankfurt,,"PT BANK RAKYAT INDONESIA (PERSERO) TBK is Banking and Financial services company with headquarters in Indonesia. As on 2019, it has 4000 branches."
PT TELEKOMUNIKASI INDONESIA TBK,23.081 Billion USD,799,23.081 Billion USD,799,Indonesia,,https://www.telkom.co.id,Communication Services; Telecom; Mobile Services,24272.0,Year ending December-2019,Year ending December-2019,NYSE; Frankfurt,Indonesia ADRs,"Telecom company with headquarters in Jakarta, Indonesia providing mobile network services, fixedline services, internet providing services, television services."
PT BANK MANDIRI (PERSERO) TBK,21.820 Billion USD,847,21.820 Billion USD,847,Indonesia,,https://www.bankmandiri.co.id/,Financial Services; Banking Services,39000.0,Year ending December-2020,Year ending December-2020,Jakarta,,"PT BANK MANDIRI (PERSERO) TBK is Banking and Financial services company with headquarters in Indonesia.
BANK MANDIRI has 2,714 branches and 13,217 ATMs as on 2020.
 "
PT UNILEVER INDONESIA TBK,20.530 Billion USD,891,20.530 Billion USD,891,Indonesia,,https://www.unilever.co.id/,Consumer Defensive; FMCG; Consumer Goods,5400.0,Year ending December-2020,Year ending December-2020,Jakarta,,"FMCG sector which manufacture and markets like soaps, shampos, detergents, healthcare products, food products. Headquarters is in Jakarta, Indonesia."
PT ASTRA INTERNATIONAL TBK,18.160 Billion USD,1003,18.160 Billion USD,1003,Indonesia,,https://www.astra.co.id/,Consumer Cyclical; Automobile; Automobile Parts,226105.0,Year ending December-2020,Year ending December-2020,Jakarta,,"Astra International manufactures and sells auto parts. Apart from that it sells bikes, cars, mining equipment, construction equipment of various companies. It also sells used cars. It has business in infrastructure like laying toll roads."
PT HANJAYA MANDALA SAMPOERNA TBK,12.610 Billion USD,1384,12.610 Billion USD,1384,Indonesia,,https://www.sampoerna.com/,Consumer Defensive; Tobacco and Cigarette; Tobacco Products,28000.0,Year ending December-2020,Year ending December-2020,Jakarta,,"PT HANJAYA MANDALA SAMPOERNA TBK is engaged in the manufacture and trading of clove cigarettes. The company produces both hand-rolled kretek and machine -rolled kretek, utilizing its manufacturing. It also produces the Marlboro white cigarettes. Main product of the company is cigarettes. The headquarters is in Indonesia."
PT. CHANDRA ASRI PETROCHEMICAL TBK,11.508 Billion USD,1508,11.508 Billion USD,1508,Indonesia,,,Basic Materials; Chemicals; Petrochemicals,,Year ending December-2020,Year ending December-2020,Jakarta,,"PT Chandra Asri Petrochemical Tbk is an integrated petrochemical producer. The Company produces ethylene, propylene, mixed C4, pyrolysis gasoline, polyethylene, polypropylene, and styrene monomer. The Company also has a tank and jetty rental business. The headquarters is in Indonesia."
PT BANK NEGARA INDONESIA (PERSERO) TBK,8.700 Billion USD,1885,8.700 Billion USD,1885,Indonesia,,http://www.bni.co.id/,Financial Services; Banking Services,27211.0,Year ending December-2020,Year ending December-2020,Jakarta,,PT Bank Negara Indonesia Tbk is an Indonesian State Owned Bank company. The headquarters is in Indonesia.
GO-JEK,,1523,,1523,Indonesia,,https://www.gojek.com/,Consumer Services; Ride Sharing; Rent / Lease Services,3000.0,,,,,"Gojek’s journey began in 2010 as a motorcycle ride-hailing call center in Indonesia. The homegrown app was then launched in 2015 with only three services: GoRide, GoSend, and GoMart.
Since then, the app has evolved into a Super App, a multi-services platform with more than 20 services today.
Through just one platform, Gojek’s users can access over 20 services ranging from transportation to food delivery, massages, e-money, and even a loyalty program.
 "
