name,market_value_21,world_rank_21,market_value_20,world_rank_20,country,ceo,website,sector,employee_count,annual_revenue,annual_net_income,stock_exchange,stock_category,description
DBS GROUP HOLDINGS,48.149 Billion USD,339,48.149 Billion USD,339,Singapore,Piyush Gupta,https://www.dbs.com,Financial Services; Banking Services,28526.0,14.54 Billion SGD,6.39 Billion SGD,Singapore; Frankfurt,Singapore ADRs,"DBS GROUP HOLDINGS is Banking and Financial Services company with headquarters in Singapore. They present in 18 markets globally, including six priority markets in Asia.
As on 2019 , DBS GROUP HOLDINGS have Total assets of 579 billion SGD, Annual Income of 14.5 billion SGD, Annual Net Profit of 6.39 billion SGD and has 28,856 employees.
DBS Group has more than 250 branches and 1,100 ATM's as on 2020."
SINGAPORE TELECOMMUNICATIONS (SINGTEL),28.541 Billion USD,642,28.541 Billion USD,642,Singapore,Chua Sock Koong,https://www.singtel.com/,Communication Services; Telecom; Mobile Services,25000.0,"17,371 Million SGD","3,094 Million SGD",Singapore,Singapore ADRs,"Telecom Company with headquarters in Singapore providing mobile telecom services, fixed line telecom services, broadband internet services, television services."
OVERSEA-CHINESE BANKING CORPORATION,33.538 Billion USD,533,33.538 Billion USD,533,Singapore,Samuel N. Tsien,http://www.ocbc.com,Financial Services; Banking Services; Asset Management,29706.0,10777 Million USD,4810 Million USD,Singapore,,"Banking and Financial services company with headquarters in Singapore.
"
UNITED OVERSEAS BANK,28.536 Billion USD,643,28.536 Billion USD,643,Singapore,Wee Ee Cheong,http://www.uobgroup.com/,Financial Services; Banking Services,25000.0,"10,029 Million SGD","4,245 Million SGD",Singapore,Singapore ADRs,"Multinational banking company with headquarters in Singapore.
"
WILMAR INTERNATIONAL,22.223 Billion USD,828,22.223 Billion USD,828,Singapore,,https://www.wilmar-international.com/,Consumer Defensive; Agriculture Products; FMCG,90000.0,42640 Million USD,1293 Million USD,Singapore; Frankfurt,Singapore ADRs,"Agriculture related business with headquarters in Singapore with over 90000 Employees. Palm Oil Trees Cultivation, Edible Oils Processing, Fertilizers, Oil Seeds, Sugar, BioDiesel are couple of agriculture products from this company.
"
SEA LIMITED,101.750 Billion USD,124,101.750 Billion USD,124,Singapore,,https://www.seagroup.com,Communication Services; Gaming; Software Products,29800.0,2175 Million USD,-1462 Million USD,NYSE,Singapore ADRs,"Seal Limited is Electronic gaming company with headquarters in Singapore. Develops PC games, mobile games and online games.
Company provides products and services related to
Digital entertainment like mobile and online games
e-Commerce
Digital financial services
Sea Limited is the parent company of Garena, Shopee, SeaMoney."
NIPPON PAINT HOLDINGS,35.280 Billion USD,500,35.280 Billion USD,500,Japan; Singapore,,https://www.nipponpaint-holdings.com/,Basic Materials; Paints and Coatings; Chemicals,23000.0,692 Billion JPY,36.71 Billion JPY,Tokyo,,"Nippon Paint Holdings is painting company with headquarters in Osaka, Japan. The company has annual revenue of 100 million yen.
Nippon Paint Holdings has over 23,000 employees with 80 manufacturing facilities and operations in 17 geographical locations with its headquarters in Singapore, efficiently serving all aspects of the business, from production to customer satisfaction."
CAPITALAND,12.539 Billion USD,1393,12.539 Billion USD,1393,Singapore,,https://www.capitaland.com,Real Estate; Investments; Property Investments,8500.0,,,Singapore,,"Real estate investment trust and property development and property management company. Headquarters in Singapore.
"
GRAB,,1383,,1383,Singapore,,https://www.grab.com/sg/,Technology; Rent / Lease Services; Digital Payment Solution Services,6000.0,1.1 Billion USD,,,,GRAB provides Cabs rental services like UBER and OLA CABS. Provides online payment solution services like AliPay and PayTM. Headquarters is in Singapore. GRAB company annual revenues for 2018 is 1.1 Billion USD.
SINGAPORE TECHNOLOGIES ENGINEERING LTD,9.005 Billion USD,1832,9.005 Billion USD,1832,Singapore,,https://www.stengg.com/,Industries; Engineering Products; Engineering Services,22000.0,,,Singapore,,"Singapore Technologies Engineering Ltd is a Engineering company. It is a technology, defence and engineering group specializing in the aerospace, electronics, land systems and marine sectors. The company create people centric, multi disciplinary, smart engineering solutions for customers in the defense, government and commercial segment in more than 100 countries. It create game changing solutions in domains such as smart cities, robotics, data analytics, cyber security and autonomous solutions. The headquarters is in Singapore."
JARDINE CYCLE & CARRIAGE,,,,,Singapore,,https://www.jcclgroup.com/,Consumer Cyclical; Investments,250000.0,,,Frankfurt,,"Jardine Cycle & Carriage is a Financial and Investment Holding company. It has a strong presence in six countries and across eight sectors that are well plugged into these themes providing products and services to support Southeast Asia growth. The company is a urbanization and growing consumer class there is an increased demand for infrastructure, housing, energy, transportation, financing and consumables. The headquarters is in Singapore."
KEPPEL CORPORATION,7.399 Billion USD,2148,7.399 Billion USD,2148,Singapore,,http://www.kepcorp.com/en/,Industries; Infrastructure,18297.0,,,Singapore,,"Keppel Corporation is a Infrastructure company. It provide solutions for sustainable urbanization, focusing on four key areas comprising energy and environment, urban development, connectivity and asset management. The company is a innovating and leveraging new technologies such as Artificial Intelligence and Industrial Internet of Things to develop advanced, robust and smart solutions fit for the future. The headquarters is in Singapore."
GENTING SINGAPORE,7.759 Billion USD,2062,7.759 Billion USD,2062,Singapore,,http://www.gentingsingapore.com/,Consumer Cyclical; Casinos; Resorts,,,,Singapore,,"Genting Singapore develops and operates resorts and casions. Headquarters is in Singapore. Genting Singapore had multiple resorts in Australia, the Bahamas, Malaysia, the Philippines and Singapore."
SINGAPORE AIRLINES,9.602 Billion USD,1736,9.602 Billion USD,1736,Singapore,,https://www.singaporeair.com/,Industries; Airlines; Aviation,14729.0,,,Singapore,Singapore ADRs,"Airlines company with headquarters in Singapore.
"
ASCENDAS REAL ESTATE INVESTMENT TRUST,9.066 Billion USD,1818,9.066 Billion USD,1818,Singapore,,https://www.ascendas-reit.com/,Real Estate; Property Investments; Investments,,,,Singapore,,Ascendas Real Estate Investment Trust is a Real Estate Market company. The headquarters is in Singapore.
