name,market_value_21,world_rank_21,market_value_20,world_rank_20,country,ceo,website,sector,employee_count,annual_revenue,annual_net_income,stock_exchange,stock_category,description
SEA LIMITED,101.750 Billion USD,124,101.750 Billion USD,124,Singapore,,https://www.seagroup.com,Communication Services; Gaming; Software Products,29800,2175 Million USD,-1462 Million USD,NYSE,Singapore ADRs,"Seal Limited is Electronic gaming company with headquarters in Singapore. Develops PC games, mobile games and online games.
Company provides products and services related to
Digital entertainment like mobile and online games
e-Commerce
Digital financial services
Sea Limited is the parent company of Garena, Shopee, SeaMoney."
PT BANK CENTRAL ASIA TBK,60.700 Billion USD,253,60.700 Billion USD,253,Indonesia,Jahja Setiaatmadja,https://www.bca.co.id/en,Financial Services; Banking Services; Credit Cards,24789,"72,968 Billion IDR","28,565 Billion IDR",Frankfurt,,PT BANK CENTRAL ASIA TBK is Bank with headquarters in Indonesia.
DBS GROUP HOLDINGS,48.149 Billion USD,339,48.149 Billion USD,339,Singapore,Piyush Gupta,https://www.dbs.com,Financial Services; Banking Services,28526,14.54 Billion SGD,6.39 Billion SGD,Singapore; Frankfurt,Singapore ADRs,"DBS GROUP HOLDINGS is Banking and Financial Services company with headquarters in Singapore. They present in 18 markets globally, including six priority markets in Asia.
As on 2019 , DBS GROUP HOLDINGS have Total assets of 579 billion SGD, Annual Income of 14.5 billion SGD, Annual Net Profit of 6.39 billion SGD and has 28,856 employees.
DBS Group has more than 250 branches and 1,100 ATM's as on 2020."
PTT PUBLIC COMPANY,40.930 Billion USD,423,40.930 Billion USD,423,Thailand,Chansin Treenuchagron,http://www.pttplc.com,Energy; Oil and Gas; Coal Mining,10875,"2,219 Billion THB",91.4 Billion THB,Thailand,,Oil and Gas company with headquarters in Thailand.
PT BANK RAKYAT INDONESIA (PERSERO) TBK,38.040 Billion USD,457,38.040 Billion USD,457,Indonesia,,http://www.ir-bri.com/,Financial Services; Banking Services,61800,108468 Billion IDR,34372 Billion IDR,Frankfurt,,"PT BANK RAKYAT INDONESIA (PERSERO) TBK is Banking and Financial services company with headquarters in Indonesia. As on 2019, it has 4000 branches."
NIPPON PAINT HOLDINGS,35.280 Billion USD,500,35.280 Billion USD,500,Singapore,,https://www.nipponpaint-holdings.com/,Basic Materials; Paints and Coatings; Chemicals,23000,692 Billion JPY,36.71 Billion JPY,Tokyo,,"Nippon Paint Holdings is painting company with headquarters in Osaka, Japan. The company has annual revenue of 100 million yen.
Nippon Paint Holdings has over 23,000 employees with 80 manufacturing facilities and operations in 17 geographical locations with its headquarters in Singapore, efficiently serving all aspects of the business, from production to customer satisfaction."
OVERSEA-CHINESE BANKING CORPORATION,33.538 Billion USD,533,33.538 Billion USD,533,Singapore,Samuel N. Tsien,http://www.ocbc.com,Financial Services; Banking Services; Asset Management,29706,10777 Million USD,4810 Million USD,Singapore,,"Banking and Financial services company with headquarters in Singapore.
"
AIRPORTS OF THAILAND,29.643 Billion USD,611,29.643 Billion USD,611,Thailand,,https://www.airportthai.co.th/en/,Industries; Airports Operating; Infrastructure,7230,Year ending September-2020,Year ending September-2020,Frankfurt,Thailand ADRs,AIRPORTS OF THAILAND is Thailand based company with business in Managing International Airports in Thailand.
SINGAPORE TELECOMMUNICATIONS (SINGTEL),28.541 Billion USD,642,28.541 Billion USD,642,Singapore,Chua Sock Koong,https://www.singtel.com/,Communication Services; Telecom; Mobile Services,25000,"17,371 Million SGD","3,094 Million SGD",Singapore,Singapore ADRs,"Telecom Company with headquarters in Singapore providing mobile telecom services, fixed line telecom services, broadband internet services, television services."
UNITED OVERSEAS BANK,28.536 Billion USD,643,28.536 Billion USD,643,Singapore,Wee Ee Cheong,http://www.uobgroup.com/,Financial Services; Banking Services,25000,"10,029 Million SGD","4,245 Million SGD",Singapore,Singapore ADRs,"Multinational banking company with headquarters in Singapore.
"
