id,title,channel,url,published_date,description,relevance,data_skills,skills
-1j0_SVaAJM,Python books for beginners? What Python projects to work on? | 2 Python Beginner FAQ’s!,CS Dojo,https://youtube.com/watch?v=-1j0_SVaAJM,2018-08-04T04:50:38Z,What are the best books for Python beginners? What type of Python projects should you work on after learning the basics? Find me on Instagram: ...,40.0,Python,Data Analysis; Facebook; Instagram; Links; Machine Learning; Python; Twitter; Video; Visualization
-4E2-0sxVUM,Computer Vision: Crash Course Computer Science #35,CrashCourse,https://youtube.com/watch?v=-4E2-0sxVUM,2017-11-15T23:11:46Z,"Today we're going to talk about how computers see. We've long known that our digital cameras and smartphones can take incredibly detailed images, but taking ...",7.0,Computer Vision,Collaboration; Computer Science; Computer Vision; Computing; Facebook; Image; Internet; Twitter; Youtube
-4OsuTi8OkE,NLP Lecture 1 -  Why Learn about Natural Language Processing,Prof. Ghassemi Lectures and Tutorials,https://youtube.com/watch?v=-4OsuTi8OkE,2020-09-07T23:37:59Z,"An introduction to the course, and the instructor. Gitlab Repo: https://github.com/deskool/nlp-class.",24.0,Natural Language Processing (NLP),GitLab; Github; Natural Language Processing (NLP)
-4jokJpvFwc,Learn JavaScript — A Tutorial For Beginners (2021),CareerFoundry,https://youtube.com/watch?v=-4jokJpvFwc,2021-01-08T17:22:25Z,Learn the basics of JavaScript! Build your very first web page from scratch with these five free tutorials — Sign up here: ...,34.0,JavaScript,Blogging; Google Chrome; JavaScript; Links; Social Media; Video; Web Development
-56x56UppqQ,MongoDB Crash Course,Traversy Media,https://youtube.com/watch?v=-56x56UppqQ,2019-07-16T12:52:55Z,"In this video we will go over MongoDB, which is a popular NoSQL database that is commonly used with Node.js and other technologies. MongoDB Cheat Sheet: ...",2.0,MongoDB,Database; Facebook; Github; Golang; Instagram; Media; MongoDB; NoSQL; Node.js; Twitter; Video
-5fCvAtl8b8,Excel Full Course | Microsoft Excel Course | Microsoft Excel For Beginners | Simplilearn,Simplilearn,https://youtube.com/watch?v=-5fCvAtl8b8,2021-05-04T15:46:57Z,This Excel Tutorial full course will help you get started with Excel and explore the features it offers. You will take a tour to understand Excel basics and look at ...,26.0,Excel,Analytical; Android; Big Data; Business Analysis; Business Analytics; Business Intelligence (BI); Business Intelligence Testing; Chart; Dashboard; Data Analysis; Dataset; Decision Making; Facebook; Formatting; Healthcare; Information Technology (IT); Instagram; LinkedIn; Market; Microsoft Access; Microsoft Excel; Microsoft Power BI; Pivot Table; Reporting; Statistics; Telegram; Training; Twitter; Video; Visual Basic For Applications (VBA); Youtube; eCommerce; iOS; macOS
-7Q41t0qO7M,MongoDB Tutorial | MongoDB Tutorial For Beginners | MongoDB Training | MongoDB Course | Simplilearn,Simplilearn,https://youtube.com/watch?v=-7Q41t0qO7M,2021-05-29T15:30:00Z,"""This video on MongoDB tutorial will help you get a good understanding of the working of this DBMS. MongoDB is a document-oriented, no sequel (NoSQL) ...",10.0,MongoDB,Analytical; Big Data; Configuration; Data Modelling; Database; Database Management System; Facebook; Instagram; LinkedIn; MongoDB; NoSQL; Telegram; Training; Twitter; Video; Virtual Machine; Youtube; jQuery
-DJZzsix55Q,Machine Learning |Ten Poplar ML Algorithms | Supervised &amp; Unsupervised Learning,Big Edu,https://youtube.com/watch?v=-DJZzsix55Q,2017-02-27T20:23:38Z,In this video you will learn about ten most used machine learning algorithms. The algorithms include both supervised & unsupervised algorithms & also include ...,48.0,Unsupervised Machine Learning,Classification; Data Science; Decision Tree; Facebook; Linear Regression; Logistic Regression; Logistics; Machine Learning Algorithm; Naïve Bayes; Nonlinear Regression; Principal Component Analysis (PCA); Random Forest; Regression; Supervised Learning; Support Vector Machine (SVM); Training; Unsupervised Learning; Video; k-means Clustering
-ETQ97mXXF0,Data Science Full Course - Learn Data Science in 10 Hours | Data Science For Beginners | Edureka,edureka!,https://youtube.com/watch?v=-ETQ97mXXF0,2019-08-18T08:30:02Z,"Data Science Master Program (Use Code ""YOUTUBE20""): https://www.edureka.co/masters-program/data-scientist-certification This Edureka Data Science Full ...",29.0,Data Preparation,C; Central Limit Theorem; Classification; Data Science; Data Wrangling; Decision Process; Decision Tree; Deep Learning; Descriptive Statistics; Graph; Hierarchical Clustering; Hypothesis Testing; Inferential Statistics; Investigational New Drug (IND); Linear Regression; Log-Normal Distribution; Logistic Regression; Logistics; Machine Learning; Mining; Naïve Bayes; Nonlinear Regression; Perceptron; Probability Distribution; Python; R; Random Forest Algorithm; Regression; Reinforcement Learning; Sampling; Supervised Learning; Support Vector Machine (SVM); Survey Data Analysis; TensorFlow; Training; Unsupervised Learning; Video; k-Nearest Neighbour (kNN); k-means Clustering
-JQPGKmHmPY,Programming with MATLAB,MATLAB,https://youtube.com/watch?v=-JQPGKmHmPY,2014-09-05T17:37:49Z,Learn about programming in MATLAB and to how to be more productive working with MATLAB. Get a Free MATLAB Trial: https://goo.gl/C2Y9A5 Ready to Buy: ...,30.0,Matlab,Analysis; Data Acquisition; MATLAB; Mathematical Function; Mechanical Engineering; Object-Oriented Programming (OOP); Parallel Computing; Programming Language; Programming Tool; Research; Statistics; Visualization; Writing
