id,title,channel,url,published_date,description,language,view_count,like_count,dislike_count,comment_count,relevance,data_skills,skills
--NQfX4qoNA,Learn Microsoft Excel Basics Tutorial for Beginners,Excel Dude Microsoft Excel Tutorials for Beginners,https://youtube.com/watch?v=--NQfX4qoNA,2020-12-28T20:16:33Z,Microsoft Excel 365 tutorial for beginners learn MS Excel Basic Formulas Microsoft MS Excel & 2021 Excel tips and tricks to learn excel in ten minutes Join Excel ...,en-US,2723,78,2,15,24.0,Excel,Formatting; Golang; Microsoft Excel
-4jokJpvFwc,Learn JavaScript — A Tutorial For Beginners (2021),CareerFoundry,https://youtube.com/watch?v=-4jokJpvFwc,2021-01-08T17:22:25Z,Learn the basics of JavaScript! Build your very first web page from scratch with these five free tutorials — Sign up here: ...,,3978,53,5,12,20.0,JavaScript,Blogging; Google Chrome; JavaScript; Links; Social Media; Video; Web Development
-5fCvAtl8b8,Excel Full Course | Microsoft Excel Course | Microsoft Excel For Beginners | Simplilearn,Simplilearn,https://youtube.com/watch?v=-5fCvAtl8b8,2021-05-04T15:46:57Z,This Excel Tutorial full course will help you get started with Excel and explore the features it offers. You will take a tour to understand Excel basics and look at ...,en,37320,1475,9,125,6.0,Excel,Analytical; Android; Big Data; Business Analysis; Business Analytics; Business Intelligence (BI); Business Intelligence Testing; Chart; Dashboard; Data Analysis; Dataset; Decision Making; Facebook; Formatting; Healthcare; Information Technology (IT); Instagram; LinkedIn; Market; Microsoft Access; Microsoft Excel; Microsoft Power BI; Pivot Table; Reporting; Statistics; Telegram; Training; Twitter; Video; Visual Basic For Applications (VBA); Youtube; eCommerce; iOS; macOS
-7Q41t0qO7M,MongoDB Tutorial | MongoDB Tutorial For Beginners | MongoDB Training | MongoDB Course | Simplilearn,Simplilearn,https://youtube.com/watch?v=-7Q41t0qO7M,2021-05-29T15:30:00Z,"""This video on MongoDB tutorial will help you get a good understanding of the working of this DBMS. MongoDB is a document-oriented, no sequel (NoSQL) ...",en,3322,120,3,18,6.0,MongoDB,Analytical; Big Data; Configuration; Data Modelling; Database; Database Management System; Facebook; Instagram; LinkedIn; MongoDB; NoSQL; Telegram; Training; Twitter; Video; Virtual Machine; Youtube; jQuery
-F9-NTX1qp0,Learn Tableau With Tableau Public 12: Bubble Visual,Amit Chandak,https://youtube.com/watch?v=-F9-NTX1qp0,2021-08-25T17:57:25Z,Learn Tableau With Tableau Public 12: Bubble Visual Last Video: Learn Tableau With Tableau Public 11: Scatter Visual: https://youtu.be/sURUP7Q4hn4 ...,en,86,1,0,0,28.0,Tableau,Github; Microsoft Power BI; Tableau; Video
-GZjtHUNW58,Using Apache MXNet in Production Deep Learning Streaming Pipelines,Apache MXNet,https://youtube.com/watch?v=-GZjtHUNW58,2021-02-08T17:00:01Z,"Timothy Spann, Principal DataFlow Field Engineer @ Cloudera As a Data Engineer I am often tasked with taking Machine Learning and Deep Learning models ...",en,84,4,0,0,50.0,APACHE,Apache; Application Programming Interface (API); Classification; Cloudera; Dataflow; Deep Learning; Image; Java; Machine Learning; Streaming
-JiTH56xI-E,Webinar on ICT Tools : Creating Presentation using Prezi (Hindi),NCERT OFFICIAL,https://youtube.com/watch?v=-JiTH56xI-E,2021-01-14T11:34:39Z,"Webinar Primary, Upper-Primary, Secondary and Senior Secondary classes on SWAYAM Prabha DTH-TV Channel #31 everyday. Click to see the schedule: ...",en-GB,3084,87,1,4,41.0,Presentation,Email Client; Facebook; Hindi; Information and Communications Technology (ICT); Play; Presentation; Social Media Platform; Telegram; Twitter; Youtube
-MMOMnS41W0,Interrupted Time Series and its applications,Population Data BC,https://youtube.com/watch?v=-MMOMnS41W0,2020-12-15T21:44:53Z,Interrupted Time Series (ITS) is a powerful quasi-experimental time series tool for evaluating temporal effects of interventions on an outcome of interest.,,2081,12,0,1,12.0,Time Series Analysis,Administration; Regression; Time Series Analysis
-QdPj3g1pWc,HOW to become a Cloud Engineer in 2021🔥 [Step-By-Step PLAN],Network Engineer Academy,https://youtube.com/watch?v=-QdPj3g1pWc,2020-11-24T02:30:11Z,"Cyber Security, Cloud, and Network Engineers... HIGH PAID skill to MASTER in 2021 https://youtu.be/uhLqOZltPPs ✓ Ready to join my 1-ON-1 Coaching ...",en,34502,1294,59,100,14.0,Cloud Technologies,Coaching; Facebook; Golang; Information Technology (IT); Instagram; LinkedIn; Network; Objective-C; Reverse Engineering; Security; Sentry; Video
-SrdfmRLneY,Top 5 Books For Machine Learning In 2021 | Learn Machine Learning | #Shorts | Simplilearn,Simplilearn,https://youtube.com/watch?v=-SrdfmRLneY,2021-07-08T08:30:00Z,Enroll for Free Machine Learning Course & Get Your Completion Certificate: ...,en,7186,465,9,6,45.0,Supervised Machine Learning,Algorithm; Analytical; Artificial Intelligence (AI); Azure Machine Learning; Big Data; Classification; Facebook; Instagram; LinkedIn; Modelling; Python; Regression; Supervised Learning; Telegram; Time Series Model; Training; Twitter; Unsupervised Learning; Video
