id,title,channel,description,skills,jobs
3YGtxY67bq0,Classification Learner App | MATLAB Helper Blog,MATLAB Helper ®,0:00 Introduction 1:02 Importing the excel file 2:06 Using classification learner app 5:28 Training model 7:35 Exporting the model ...,Blogging; Classification; MATLAB; Microsoft Excel; Training,Training
4_mbTZgfoz0,"Learn How To Create This Mini ERP Application With Invoicing, Purchasing &  Dashboard In Excel",Excel For Freelancers,JOIN US ON PATREON FOR UNRELEASED TRAINING + MORE ▻ https://bit.ly/PatreonDesc JOIN MY MENTORSHIP ...,Dashboard; Enterprise Resource Planning (ERP); Microsoft Excel; Training,Training
FHVx6Jn8gwo,Spark With Java Couse Part 1 | Spark With Java Tutorial  | Spark With Java Training | KnowledgeHut,upGrad KnowledgeHut,"In this era of Artificial intelligence, Machine  Learning , and Data Science, algorithms that run on Distributed Iterative computation ...",Algorithm; Apache Spark; Artificial Intelligence (AI); Data Science; Java; Machine Learning; Training,Training
L4BuUzccLpo,How to easily automate boring Excel tasks with Power Query!,MyOnlineTrainingHub,Get the files for this lesson here: https://www.myonlinetraininghub.com/introduction-to- power - query Learn Power Query  here: ...,Microsoft Excel; jQuery,Training
OsvtBSmXGS0,AB Testing Training | Perfect Search Media,Perfect Search Media,"A/B  testing  is when you create two (or more) versions of a page to see which performs better. In this training, you'll  learn  why A/B ...",A/B Testing; Media; QA Testing; TestNG; Training,Training
ktjafK4SgWM,"Learn the MERN Stack - Full Tutorial for Beginners (MongoDB, Express, React, NodeJS) in 12Hrs (2021)",Clever Programmer,Free Training on How to Become a Developer in 90 Days: ...,MongoDB; Node.js; React; Training,Training
p0TdBqIt3fg,Hadoop Ecosystem Explained | Hadoop Ecosystem Architecture And Components | Hadoop | Simplilearn,Simplilearn,What is  this  Big Data Hadoop  training course about? The  Big Data Hadoop  and Spark developer course have been designed to ...,Apache Hadoop; Apache Spark; Architecture; Big Data; Training,Training
xwj2p4LSD1k,Tableau Training For Beginners 2021 | Tableau Tutorial For Beginners | Tableau Course | Simplilearn,Simplilearn,Tableau Server 2. Tableau Online 3. Tableau Desktop 4. Tableau Public 5. Tableau Reader Why  learn Tableau ? Everything we ...,Tableau; Training,Training
6I-Alfkr5K4,Natural Language Processing In 10 Minutes | NLP Tutorial For Beginners | NLP Training | Simplilearn,Simplilearn,Natural Language Processing  is a popular application of Artificial Intelligence. This video on  NLP  in 10 minutes will make you ...,Artificial Intelligence (AI); Natural Language Processing (NLP); Training,Training
EnzJ_agj5_c,R Data Carpentry workshop 13-14 Oct 2020 - Data cleaning with OpenRefine,SoftwareSaved,Data cleaning  with OpenRefine Description: Cleaning data and preparing for further analysis using OpenRefine. Training ...,Analysis; Carpentry; Data Cleansing; R; Training,Training
KvLG1uTC-KU,Time Series Forecasting with Facebook Prophet and Python in 20 Minutes,Nicholas Renotte,Trying to forecast the next best stock? Want to predict the weather? Maybe you're just trying to get a better sales forecast for your ...,Facebook; Python; Sales; Time Series Forecasting,Sales
PRRu-RlLK6c,Java Complete Course! 🔥| Java Tutorial for Beginners | Online Java Training | Learn Java Programming,Karpado Official,Java  Tutorial for beginners is a complete course on  Java . This course/training is inspired from some of the popular books and ...,Java; Programming; Training,Training
hLnB0uzGvDI,Introduction To Hadoop | Hadoop Explained | Hadoop Tutorial For Beginners | Hadoop | Simplilearn,Simplilearn,What is  this  Big Data Hadoop  training course about? The  Big Data Hadoop  and Spark developer course have been designed to ...,Apache Hadoop; Apache Spark; Big Data; Training,Training
hrWwVTKu1ps,Introduction to Natural Language Processing | NLP Tutorial | AI ML Training | Edureka Live,edureka!,-----------------------------------------Edureka Masters Programs--------------------------------------------------- DevOps Engineer Masters ...,Artificial Intelligence (AI); DevOps; Natural Language Processing (NLP); Training,Training
nPkmWE4JCfE,Microsoft Excel Tutorial For Beginners-1 | Excel Formulas & Functions | Excel Training | Simplilearn,Simplilearn,This video on  Microsoft Excel  Tutorial For Beginners-1 will help you get started with  Excel  and explore the features it offers.,Microsoft Excel; Training,Training
pDy_SPwM5cs,Smartsheet Dashboard training in 20 minutes,Project Management Tools - Weekly Tips and Tricks,This smartsheet tutorial shows you how to build  dashboards  with real examples. This Smartsheet training will provide you ...,Dashboard; Training,Training
rTOi82_HGf4,Handling Large Datasets in Data Preparation & ML Training using MLOps- MLOps Live #11,Iguazio,... this time on the scaling of the  data preparation  and the scaling of the machine  learning  pipeline okay so with that we'll move into ...,Data Preparation; Dataset; MLOps; Machine Learning; Training,Training
4igq44jaWS8,Learn Microsoft Power BI in One Video | Business Intelligence for Beginners | Practical Course 2021,ProgrammingKnowledge,"Welcome to this  Microsoft Power BI  Business Intelligence  Training Course  for  Beginners . This is a Beginner  Course  on  Power BI , ...",Business Intelligence (BI); Business Intelligence Tool; Microsoft Power BI; Training,Training
DMv9JC_K37Y,How To Read & Analyze The Balance Sheet Like a CFO | The Complete Guide To Balance Sheet Analysis,The Financial Controller,I walk you through both the accounting and the strategic analysis of the  balance sheet ; and explaining the risk-based approach in ...,Accounting; Analysis; Balance Sheet,Accounting/Finance
RwDV802ckU8,R Tutorial For Beginners | R Programming Course | Learn R Language | R Training | Intellipaat,Intellipaat,#RProgrammingForBeginners #RProgrammingCourse #LearnRLanguage #RTraining #RProgrammingTutorial ...,R; Training,Training
U-FCSxpbfnI,Statistics & Probability Interview Questions For Data Science | Data Science Training | Simplilearn,Simplilearn,Mathematics is the core of data science. This video on mathematics interview questions for data scientists will help you ...,Data Science; Mathematics; Probability; Statistics; Training,Training
csSKlm7MYcc,Learn Cloud Computing Concepts: Part II,BitDegree,"Interested in  learning  AWS? Welcome to all-inclusive online AWS training by BitDegree! Whether you want to upskill, change ...",Amazon Web Service (AWS); Cloud Computing; Training,Training
fhSOJYzfGYg,Tableau Tutorial for Beginners | Learn Tableau | Tableau Training | Introduction to Tableau,JanBask Training,This Tableau Tutorial video will help you understand and  learn Tableau  in detail. This Tableau Tutorial is ideal for both beginners ...,Tableau; Training,Training
ormRboQsB-I,Microsoft Excel Tutorial for Beginners | Excel Training | FREE Online Excel course (2021),ProgrammingKnowledge,Welcome to the The Beginner's Guide course to  Excel . This  Excel  Full Course enables you to  Learn  MS  Excel  in simple and easy ...,Microsoft Excel; Training,Training
5uzB4z4iN0g,Tableau Projects For Practice With Examples | Tableau Training For Beginners | Simplilearn,Simplilearn,This video is based on  Tableau  Projects for Practice with Examples. This  tableau  training for beginners video includes some ...,Tableau; Training,Training
68lIfswwG2A,Natural Language Processing | NLP with Deep Learning and Machine Learning | NLP Using Python,Intellipaat,# NaturalLanguageProcessing  #NLPdeeplearning #NLPMachineLearning #NLPPython #NLPCourse #NLPTraining #NLPTutorial ...,Deep Learning; Machine Learning; Natural Language Processing (NLP); Python,Training
KMOmw19ZCGs,Git & GitHub Full Course in 5 Hours | Git GitHub Tutorial for Beginners | DevOps Training | Edureka,edureka!,#Edureka​ #EdurekaGitGitHub #GitGitHubFullCourse​ #GitGitHub #GitGitHubTutorialForBeginners​ #futureofGitGitHub ...,DevOps; Git; Github; Training,Training
W-cnCuqN-S8,Tableau Full Course | Learn Tableau In 8 Hours | Tableau Training For Beginners | Simplilearn,Simplilearn,This video is based on  Tableau  Full Course. This  tableau  training for beginners is dedicated to helping beginners to  learn  the ...,Tableau; Training,Training
dNtUG3GeoS4,How to make an interactive PowerPoint presentation - PowerPoint basic training,Enix Tutorials,"This video show you how to make an interactive PowerPoint  presentation  step by step. After make this, you can use this ppt slide ...",Microsoft PowerPoint; Presentation; Training,Training
m_SH0TOLsIc,Excel for Accounting - 10 Excel Functions You NEED to KNOW!,Leila Gharani,They'll make your work life a LOT easier and they work in all  Excel  versions. Some of these are basic  Microsoft Excel  formulas and ...,Accounting; Microsoft Excel,Accounting/Finance
zAtvNGah64s,Data Munging to Wrangling - 7 Steps to Mastering Data Preparation for Data Science - Natasha Balac,PASStv,"Data  is at the heart of all Artificial Intelligence (AI) systems.  Data  is crucial in training, testing, validating, and evaluating machine ...",Artificial Intelligence (AI); Data Preparation; Data Science; TestNG; Testing; Training,Training
TjGbOoKvZ7M,How To Import & Clean Messy Accounting Data in Excel | Use Power Query to Import SAP Data,Leila Gharani,Time Stamps 00:00  Data Cleaning  with Excel for Accountants 00:40 How to Import SAP Data in Excel with Power Query 15:43 ...,Accounting; Data Cleansing; Microsoft Excel; SAP; jQuery,Accounting/Finance
VQoTvw-DsvU,Reinforcement Learning on a GeForce RTX 3080 in MATLAB R2021a,MOBATSim,"In this video, a few different reinforcement  learning  training options are shown in  MATLAB  and Simulink on a CPU (Intel® Core™ ...",MATLAB; Reinforcement Learning; Simulink; Training,Training
XDAP9fuBjlc,How do I get started with a Cloud Computing career?,Cloud Bart,Cloud computing  IS everything in the world of Information Technology - find out how to get started now! #CloudCareers ...,Cloud Computing; Information Technology (IT),Information Technology
bZwpXEgG0to,AI Roadmap For 2021 | Learn AI | Artificial Intelligence Careers | Data Science Training | Edureka,edureka!,#Edureka #AIRoadmapFor2021 #ArtificialIntellegenceCareer #AITutorial #AITraining #DataScienceTutorial ...,Artificial Intelligence (AI); Data Science; Training,Training
gp0AHP9vbTY,GCSE Business Studies: Financial Statements,Atomi,"In this video, we'll look at the three financial controls used to monitor a businesses financial performance: the  balance sheet , ...",Balance Sheet; Financial Statement,Audit and Financial/Business Controls
ilw2AnNsbIc,Climate Change Prediction Using Time Series Analysis | Python Projects | Python Training | Edureka,edureka!,#Edureka #EdurekaDataScience #ClimateChangePrediction #TimeSeriesAnalysis #DataScienceTutorial #DataScienceProject ...,Python; Time Series Analysis; Training,Training
jh14LlMHyds,SQL vs NoSQL | Difference Between SQL And NoSQL | SQL And NoSQL Tutorial | SQL Training |Simplilearn,Simplilearn,#SQLvsNoSQL #SQLAndNoSQLDifferences #DifferenceBetweenSQLAndNoSQL #NoSQLvsSQL #SQLAndNoSQLTutorial ...,NoSQL; Structured Query Language (SQL); Training,Training
pN6AVNkQmFY,Creating and Training Reinforcement Learning Agents Interactively,MATLAB,"Design, train, and simulate reinforcement  learning  agents using a visual interactive workflow in the Reinforcement  Learning  ...",Design; Reinforcement Learning; Training,Training
qgQAFP6oSKw,Using GitHub as your Project Management Tool | Learn with Dr. G,Microsoft Developer,"When you begin any development project, the tools and systems you use are just as important as the project itself. It is important to ...",Github; Project Management,Project/Program Management
C5dFVzQjfPE,"ETL process | Extract, Transform and Load operations in Data Warehouse",Learn with Fun and Creativity,"This video is about  ETL  process of data warehouse explaining how data is collected from different data souces, how data ...",Extract Transform Load (ETL); Transformer,Manufacturing/Operations
PzQ3DBrHW-U,Spark Scala | Spark Tutorial | Scala Tutorial | Spark Scala Full Course | Intellipaat,Intellipaat,"Intellipaat  Apache Spark  Scala Course:- https://intellipaat.com/ apache - spark -scala-training/ In this Spark Scala video, you will ...",Apache Spark; Scala; Training,Training
ZCWiZNBV6-U,HBase Tutorial for Beginners | Introduction to Apache HBase | Hadoop Training | Edureka Live,edureka!,"This Edureka video on ""HBaseTutorial"" will provide you with detailed knowledge about  HBase  and the functionalities it can ...",Apache Hadoop; Apache Hbase; HBase; Training,Training
